iter	Passed	Remaining
0	21	4212
1	45	4534
2	74	4908
3	101	4954
4	128	5004
5	154	5007
6	185	5110
7	219	5273
8	251	5340
9	283	5393
10	312	5375
11	346	5424
12	374	5392
13	403	5357
14	430	5308
15	457	5264
16	483	5209
17	512	5185
18	539	5142
19	568	5112
20	593	5061
21	621	5025
22	647	4979
23	673	4936
24	698	4892
25	724	4848
26	751	4812
27	777	4776
28	805	4751
29	831	4713
30	871	4752
31	898	4716
32	925	4685
33	952	4648
34	978	4611
35	1005	4579
36	1032	4546
37	1057	4509
38	1084	4477
39	1114	4457
40	1144	4440
41	1179	4436
42	1214	4433
43	1244	4412
44	1278	4402
45	1310	4388
46	1341	4365
47	1368	4332
48	1423	4387
49	1451	4353
50	1476	4314
51	1502	4275
52	1527	4237
53	1545	4178
54	1572	4144
55	1598	4111
56	1625	4078
57	1653	4047
58	1679	4013
59	1705	3979
60	1731	3946
61	1757	3912
62	1784	3881
63	1811	3848
64	1837	3816
65	1863	3783
66	1889	3751
67	1915	3719
68	1943	3689
69	1969	3658
70	1995	3625
71	2022	3595
72	2048	3562
73	2074	3531
74	2101	3501
75	2129	3474
76	2156	3444
77	2186	3420
78	2212	3389
79	2240	3360
80	2266	3329
81	2297	3306
82	2325	3277
83	2353	3250
84	2380	3220
85	2407	3190
86	2433	3160
87	2448	3116
88	2475	3087
89	2503	3059
90	2529	3029
91	2554	2999
92	2581	2970
93	2608	2941
94	2634	2911
95	2660	2882
96	2687	2853
97	2717	2828
98	2744	2800
99	2784	2784
100	2809	2754
101	2835	2724
102	2852	2686
103	2878	2656
104	2904	2627
105	2930	2598
106	2956	2569
107	2982	2540
108	3009	2512
109	3035	2483
110	3076	2466
111	3102	2437
112	3128	2408
113	3158	2382
114	3186	2355
115	3212	2326
116	3240	2299
117	3266	2270
118	3294	2242
119	3320	2213
120	3348	2186
121	3374	2157
122	3400	2128
123	3426	2100
124	3452	2071
125	3478	2043
126	3504	2014
127	3530	1985
128	3556	1957
129	3583	1929
130	3608	1900
131	3635	1872
132	3661	1844
133	3689	1817
134	3715	1788
135	3740	1760
136	3766	1731
137	3792	1703
138	3819	1676
139	3845	1647
140	3871	1619
141	3910	1597
142	3941	1570
143	3967	1543
144	3995	1515
145	4021	1487
146	4047	1459
147	4073	1431
148	4099	1403
149	4133	1377
150	4165	1351
151	4192	1324
152	4218	1296
153	4248	1268
154	4273	1240
155	4299	1212
156	4325	1184
157	4352	1156
158	4380	1129
159	4412	1103
160	4455	1079
161	4485	1052
162	4526	1027
163	4563	1001
164	4601	976
165	4637	949
166	4663	921
167	4688	893
168	4717	865
169	4746	837
170	4777	810
171	4806	782
172	4833	754
173	4859	726
174	4886	698
175	4912	669
176	4940	641
177	4967	613
178	4993	585
179	5020	557
180	5046	529
181	5071	501
182	5098	473
183	5131	446
184	5159	418
185	5187	390
186	5213	362
187	5240	334
188	5267	306
189	5293	278
190	5319	250
191	5347	222
192	5373	194
193	5399	166
194	5424	139
195	5451	111
196	5480	83
197	5506	55
198	5533	27
199	5560	0
