iter	CrossEntropy
0	0.6837700129
1	0.6744621249
2	0.6673792962
3	0.661503
4	0.6560969524
5	0.6484084277
6	0.642768032
7	0.6372112714
8	0.6313563711
9	0.6263196729
10	0.6213746954
11	0.6161374027
12	0.612313528
13	0.6095307948
14	0.6052260226
15	0.6012862901
16	0.5976725303
17	0.5932308327
18	0.5894657947
19	0.5861777644
20	0.583001963
21	0.5801069005
22	0.5769075141
23	0.5733461414
24	0.5704604638
25	0.5675725356
26	0.5658718467
27	0.5633617037
28	0.5611876034
29	0.5583508967
30	0.5565651014
31	0.5537567952
32	0.5513772009
33	0.5483769481
34	0.5472748878
35	0.5444766797
36	0.5420538218
37	0.5391924207
38	0.5369601314
39	0.5335074966
40	0.5317820073
41	0.528889224
42	0.5262186106
43	0.5239516595
44	0.5223434594
45	0.5204903271
46	0.5187892602
47	0.5171881854
48	0.5155244026
49	0.5140052349
50	0.511795967
51	0.5103028297
52	0.5090598969
53	0.5082770396
54	0.5067073331
55	0.5044634773
56	0.5025526408
57	0.5014057492
58	0.4998765326
59	0.4975227332
60	0.4957631711
61	0.4941292648
62	0.4932528741
63	0.4912035392
64	0.4900076845
65	0.489134466
66	0.4872878662
67	0.485671276
68	0.4842295664
69	0.4831689152
70	0.4811469374
71	0.4790670628
72	0.4771722926
73	0.4755241696
74	0.4744418059
75	0.4738118777
76	0.4725832287
77	0.4702799602
78	0.4691361635
79	0.467283648
80	0.4655770965
81	0.464452008
82	0.4634491546
83	0.4629027972
84	0.4619349088
85	0.4607686909
86	0.4596452389
87	0.4593981084
88	0.4572742747
89	0.4559664474
90	0.4543249401
91	0.4530341714
92	0.4520638564
93	0.4509802017
94	0.4493549178
95	0.4474331182
96	0.4468075246
97	0.445355412
98	0.44393945
99	0.443558755
100	0.4420871105
101	0.4404834068
102	0.4402727002
103	0.4393195705
104	0.4385749966
105	0.4373615843
106	0.4362084237
107	0.4345410239
108	0.4328863516
109	0.4315336815
110	0.4302185717
111	0.4296355273
112	0.4285311015
113	0.4280177105
114	0.4265094007
115	0.4251958667
116	0.423975917
117	0.4217237919
118	0.4203875956
119	0.4195340423
120	0.4188702152
121	0.4175714955
122	0.416340528
123	0.4142713206
124	0.4134522884
125	0.4121221317
126	0.4111799059
127	0.4100101432
128	0.4079844678
129	0.4070306092
130	0.4054817689
131	0.4043421807
132	0.4020980308
133	0.401253124
134	0.4003142892
135	0.3985265768
136	0.3973011114
137	0.3963266863
138	0.3951600076
139	0.3933182106
140	0.3927084753
141	0.3915464137
142	0.3905247437
143	0.3892403167
144	0.387491165
145	0.386557298
146	0.3852425413
147	0.3841640723
148	0.3832037553
149	0.3825291737
150	0.3812790425
151	0.3802092497
152	0.3791461539
153	0.3779484466
154	0.3777329766
155	0.3768067185
156	0.3754307805
157	0.3743072173
158	0.3725490276
159	0.3715538138
160	0.3706553636
161	0.3697809747
162	0.3678754595
163	0.3673256612
164	0.3664579499
165	0.3653321629
166	0.3640695069
167	0.3631279719
168	0.361668273
169	0.3599166749
170	0.3586996719
171	0.3576484104
172	0.3558367184
173	0.3545267295
174	0.353326201
175	0.352032636
176	0.3514426755
177	0.3505596987
178	0.3492745987
179	0.348551885
180	0.3478958788
181	0.3467310986
182	0.3452238633
183	0.3445623089
184	0.3439339665
185	0.3429018175
186	0.3414865067
187	0.3405308394
188	0.3392125504
189	0.3375993611
190	0.3367374718
191	0.3352832947
192	0.3342490275
193	0.3333691661
194	0.332215431
195	0.3310933686
196	0.3302146573
197	0.3291349238
198	0.3283418483
199	0.3266882103
