iter	CrossEntropy
0	0.6831284764
1	0.674319803
2	0.6680262793
3	0.6592756162
4	0.6539339966
5	0.6489612667
6	0.6428291131
7	0.6352302731
8	0.6313086297
9	0.6266979683
10	0.622339233
11	0.6172000679
12	0.6123611127
13	0.6075913241
14	0.6025669521
15	0.5993477244
16	0.5953599999
17	0.5920115183
18	0.588901715
19	0.5856271339
20	0.5816922486
21	0.5767208971
22	0.5736321456
23	0.570383195
24	0.5694487597
25	0.5668524948
26	0.5645214047
27	0.56245878
28	0.5599926876
29	0.5577781469
30	0.5555226506
31	0.5543300666
32	0.5512477099
33	0.5497190034
34	0.5471954242
35	0.5449194556
36	0.541934981
37	0.5396071605
38	0.5376067864
39	0.5349067842
40	0.5333782427
41	0.5317983172
42	0.5293772443
43	0.5272859316
44	0.5250189914
45	0.5240727831
46	0.5227886828
47	0.5219242113
48	0.5205496797
49	0.5177908783
50	0.5166236742
51	0.5143253698
52	0.5127258102
53	0.5107952885
54	0.5096493907
55	0.5081039175
56	0.5064362833
57	0.5046383432
58	0.5028537396
59	0.5012802404
60	0.4998801091
61	0.4985106428
62	0.4967624848
63	0.4948438138
64	0.4942070337
65	0.4932019589
66	0.4921763985
67	0.4916707703
68	0.490938367
69	0.4899029881
70	0.4888167542
71	0.4870062089
72	0.4862262093
73	0.4852011237
74	0.4838906814
75	0.4829247779
76	0.4812149562
77	0.479730181
78	0.4778401699
79	0.4768401413
80	0.474800332
81	0.4736673751
82	0.4720041584
83	0.4712254198
84	0.4705093284
85	0.4690365821
86	0.4683930005
87	0.4671260181
88	0.4652629283
89	0.4637277218
90	0.4624009236
91	0.4614986264
92	0.4603185043
93	0.4591584924
94	0.4578104692
95	0.4565719802
96	0.4559599765
97	0.4538432285
98	0.4533812518
99	0.4526086278
100	0.4515943626
101	0.4501170346
102	0.4496319597
103	0.4478310568
104	0.4469850322
105	0.4459508389
106	0.4453631718
107	0.4441798205
108	0.4434040112
109	0.4412395772
110	0.4400495052
111	0.4382782535
112	0.4364845565
113	0.4355980416
114	0.4349551749
115	0.4334791947
116	0.4325368007
117	0.4314042375
118	0.4307530263
119	0.4301512554
120	0.428693665
121	0.4275802338
122	0.4270700904
123	0.4267909884
124	0.4261689999
125	0.4251640571
126	0.4230563758
127	0.4212845203
128	0.4205195876
129	0.4195250349
130	0.4183808424
131	0.4178780906
132	0.4168952942
133	0.4160742307
134	0.4153037622
135	0.4137641392
136	0.4123344073
137	0.4110982329
138	0.4100707651
139	0.4093583775
140	0.4077354628
141	0.4072557367
142	0.4062309161
143	0.4045667301
144	0.4034063183
145	0.4025850439
146	0.402084631
147	0.4013966317
148	0.3998911065
149	0.3990656677
150	0.3978519696
151	0.396750397
152	0.3960582803
153	0.3948872393
154	0.3938801368
155	0.3930469039
156	0.3916270187
157	0.3909866147
158	0.389797575
159	0.3880535601
160	0.386733182
161	0.3854359984
162	0.3844635573
163	0.3823486426
164	0.3806959805
165	0.3798674341
166	0.3786828426
167	0.3781906452
168	0.3772752526
169	0.3760669866
170	0.3752822975
171	0.3750492577
172	0.3735301351
173	0.3725879194
174	0.3711103637
175	0.3687176178
176	0.3683389202
177	0.3673207297
178	0.3662850847
179	0.3652421058
180	0.3639646174
181	0.363200015
182	0.3620598188
183	0.3613153244
184	0.3601617798
185	0.3592280721
186	0.3588178913
187	0.3580189028
188	0.3567213466
189	0.3551692857
190	0.3542095978
191	0.3531636012
192	0.3517854033
193	0.3509326362
194	0.3493387035
195	0.3487427905
196	0.3480147388
197	0.3466665578
198	0.3454840671
199	0.3445564495
