iter	CrossEntropy
0	0.6832193414
1	0.6738630783
2	0.6662950571
3	0.6588615212
4	0.6521441728
5	0.6456719031
6	0.6400207115
7	0.633320958
8	0.6286895961
9	0.6236617897
10	0.6208690221
11	0.6155150856
12	0.6114560451
13	0.6067015139
14	0.6030380929
15	0.5994185167
16	0.5962786467
17	0.5927805302
18	0.5889766073
19	0.5858461697
20	0.5812382009
21	0.5769784711
22	0.5742450045
23	0.5717805428
24	0.5691070189
25	0.5677478821
26	0.5658004942
27	0.563276652
28	0.5611408841
29	0.5574946501
30	0.5552323878
31	0.5533849577
32	0.5504288827
33	0.5477074847
34	0.5454979932
35	0.5435174587
36	0.541291846
37	0.5386025167
38	0.5362691031
39	0.5339669711
40	0.5326014404
41	0.5317555909
42	0.5289630877
43	0.5273036294
44	0.5256179713
45	0.52302085
46	0.5209780884
47	0.5194865289
48	0.5174354266
49	0.515942604
50	0.5149759384
51	0.5131595432
52	0.5117527258
53	0.5107337765
54	0.5086560975
55	0.5071920544
56	0.5053743976
57	0.5042391924
58	0.5029784552
59	0.5015365473
60	0.4999058969
61	0.4980025944
62	0.4962317708
63	0.4948618766
64	0.4932367625
65	0.4927614815
66	0.4916761452
67	0.4901430984
68	0.4889282084
69	0.4883765785
70	0.4860972003
71	0.4851340451
72	0.4832682945
73	0.4812974867
74	0.4795939715
75	0.477244466
76	0.4763248061
77	0.4745717776
78	0.472662079
79	0.4714966431
80	0.4702187542
81	0.4688846117
82	0.4677503686
83	0.4658127327
84	0.4647369818
85	0.4639030461
86	0.4634422188
87	0.4620452369
88	0.4613066105
89	0.4598057143
90	0.4586797171
91	0.4582966903
92	0.4575301367
93	0.4555860628
94	0.4544612219
95	0.4533491837
96	0.4520728626
97	0.4508783475
98	0.4499187373
99	0.44918327
100	0.4482307729
101	0.4478571424
102	0.4465541721
103	0.4458516662
104	0.4448400451
105	0.4439794712
106	0.4425123774
107	0.4417039979
108	0.4402246535
109	0.4390171963
110	0.438271931
111	0.4369114756
112	0.4356815122
113	0.4350740589
114	0.4343201822
115	0.4334489914
116	0.4321048031
117	0.4304919539
118	0.4295187626
119	0.4288500098
120	0.4278250481
121	0.426417981
122	0.4248350446
123	0.4233537129
124	0.4214594025
125	0.4204035631
126	0.4190021241
127	0.4175736641
128	0.4169032453
129	0.4158810895
130	0.4144362905
131	0.4133225435
132	0.412487879
133	0.4117512389
134	0.4114489954
135	0.4101466092
136	0.408787236
137	0.4072020357
138	0.4058913892
139	0.4053313532
140	0.4040309611
141	0.403509775
142	0.4028024783
143	0.4010498003
144	0.3999805153
145	0.398772685
146	0.3980995027
147	0.3975689049
148	0.3969780808
149	0.3956815273
150	0.3940156282
151	0.3934331771
152	0.3926114667
153	0.392181937
154	0.3913843701
155	0.3908460731
156	0.3898479101
157	0.3891936211
158	0.3883609358
159	0.387418124
160	0.3866908884
161	0.3859805153
162	0.3850433699
163	0.3839248994
164	0.3819063089
165	0.3803826107
166	0.3792672128
167	0.3788696002
168	0.377825403
169	0.3765143364
170	0.3757865944
171	0.3753452244
172	0.374695089
173	0.373350007
174	0.3722501783
175	0.3711388979
176	0.3699533313
177	0.3693862045
178	0.36890324
179	0.3681232373
180	0.3669684308
181	0.3659964017
182	0.365475305
183	0.3645546294
184	0.362899555
185	0.3617430517
186	0.3604322485
187	0.3582737898
188	0.3562683146
189	0.3555290106
190	0.3542719484
191	0.3535653039
192	0.352462874
193	0.3515868745
194	0.3502121125
195	0.349389441
196	0.3484989902
197	0.3463224497
198	0.3455027356
199	0.3439508387
