iter	Passed	Remaining
0	20	4133
1	45	4480
2	72	4751
3	99	4877
4	126	4936
5	155	5032
6	182	5042
7	211	5068
8	240	5102
9	270	5130
10	300	5168
11	331	5198
12	362	5211
13	395	5251
14	422	5211
15	449	5171
16	477	5142
17	505	5114
18	537	5120
19	565	5089
20	592	5049
21	620	5020
22	647	4985
23	673	4941
24	702	4915
25	731	4897
26	757	4856
27	784	4821
28	814	4800
29	840	4765
30	869	4739
31	896	4704
32	922	4666
33	948	4629
34	974	4592
35	1001	4564
36	1027	4527
37	1054	4495
38	1080	4460
39	1110	4442
40	1151	4465
41	1176	4427
42	1204	4397
43	1230	4362
44	1256	4329
45	1283	4295
46	1309	4263
47	1337	4234
48	1365	4208
49	1393	4179
50	1419	4148
51	1446	4116
52	1473	4085
53	1504	4068
54	1535	4047
55	1565	4025
56	1608	4034
57	1636	4007
58	1664	3978
59	1702	3972
60	1728	3939
61	1756	3908
62	1782	3876
63	1809	3845
64	1836	3814
65	1863	3783
66	1890	3753
67	1917	3722
68	1946	3695
69	1973	3665
70	2001	3636
71	2027	3605
72	2056	3578
73	2084	3549
74	2112	3521
75	2142	3495
76	2170	3467
77	2198	3438
78	2226	3409
79	2253	3380
80	2280	3350
81	2306	3319
82	2334	3290
83	2361	3260
84	2388	3231
85	2415	3202
86	2442	3172
87	2470	3143
88	2499	3117
89	2526	3087
90	2552	3057
91	2579	3028
92	2605	2998
93	2634	2971
94	2661	2941
95	2686	2910
96	2712	2880
97	2738	2850
98	2764	2820
99	2791	2791
100	2818	2763
101	2849	2737
102	2875	2707
103	2901	2678
104	2928	2649
105	2955	2621
106	2982	2592
107	3008	2562
108	3035	2533
109	3061	2505
110	3089	2477
111	3116	2448
112	3144	2420
113	3169	2391
114	3197	2363
115	3224	2335
116	3250	2306
117	3276	2277
118	3303	2248
119	3330	2220
120	3356	2191
121	3384	2163
122	3411	2135
123	3438	2107
124	3469	2081
125	3498	2054
126	3526	2026
127	3553	1998
128	3582	1971
129	3609	1943
130	3635	1914
131	3661	1886
132	3689	1858
133	3716	1830
134	3744	1802
135	3771	1775
136	3808	1751
137	3835	1723
138	3861	1694
139	3888	1666
140	3916	1638
141	3942	1610
142	3971	1582
143	3997	1554
144	4024	1526
145	4051	1498
146	4079	1470
147	4105	1442
148	4132	1414
149	4159	1386
150	4185	1358
151	4212	1330
152	4239	1302
153	4265	1274
154	4292	1246
155	4318	1217
156	4344	1189
157	4370	1161
158	4397	1133
159	4423	1105
160	4449	1077
161	4479	1050
162	4508	1023
163	4535	995
164	4562	967
165	4588	939
166	4617	912
167	4643	884
168	4671	856
169	4697	828
170	4723	801
171	4751	773
172	4780	746
173	4820	720
174	4848	692
175	4874	664
176	4901	636
177	4927	609
178	4953	581
179	4979	553
180	5005	525
181	5033	497
182	5059	470
183	5086	442
184	5112	414
185	5139	386
186	5165	359
187	5203	332
188	5229	304
189	5256	276
190	5284	248
191	5310	221
192	5336	193
193	5364	165
194	5390	138
195	5417	110
196	5446	82
197	5478	55
198	5506	27
199	5536	0
