iter	Passed	Remaining
0	21	4284
1	45	4481
2	71	4689
3	97	4781
4	125	4910
5	152	4915
6	178	4920
7	206	4959
8	235	4989
9	261	4963
10	287	4939
11	317	4979
12	348	5017
13	377	5013
14	407	5022
15	435	5006
16	465	5009
17	495	5005
18	530	5049
19	562	5058
20	590	5034
21	621	5029
22	648	4987
23	675	4951
24	700	4906
25	728	4875
26	753	4829
27	780	4791
28	806	4753
29	831	4713
30	859	4685
31	886	4651
32	912	4615
33	937	4578
34	963	4543
35	990	4513
36	1017	4482
37	1043	4447
38	1068	4412
39	1096	4386
40	1123	4356
41	1152	4337
42	1183	4319
43	1211	4294
44	1238	4266
45	1266	4239
46	1293	4209
47	1303	4129
48	1331	4103
49	1360	4080
50	1386	4051
51	1414	4027
52	1441	3997
53	1469	3973
54	1506	3971
55	1537	3954
56	1567	3932
57	1592	3899
58	1617	3866
59	1643	3835
60	1669	3804
61	1694	3771
62	1721	3742
63	1747	3712
64	1773	3682
65	1799	3652
66	1824	3621
67	1849	3590
68	1876	3562
69	1903	3534
70	1929	3506
71	1955	3476
72	1981	3447
73	2007	3418
74	2033	3389
75	2059	3360
76	2085	3330
77	2111	3302
78	2136	3273
79	2163	3244
80	2188	3215
81	2215	3187
82	2241	3159
83	2267	3131
84	2293	3103
85	2318	3073
86	2345	3046
87	2371	3018
88	2397	2990
89	2423	2962
90	2454	2939
91	2488	2921
92	2515	2894
93	2541	2866
94	2568	2838
95	2595	2811
96	2622	2784
97	2648	2756
98	2674	2728
99	2701	2701
100	2729	2675
101	2758	2649
102	2785	2623
103	2809	2593
104	2836	2566
105	2864	2540
106	2892	2513
107	2918	2485
108	2944	2457
109	2970	2430
110	2996	2402
111	3022	2375
112	3049	2347
113	3076	2320
114	3101	2292
115	3128	2265
116	3153	2237
117	3179	2209
118	3206	2182
119	3232	2154
120	3257	2127
121	3298	2109
122	3324	2081
123	3350	2053
124	3377	2026
125	3406	2000
126	3434	1973
127	3463	1948
128	3507	1930
129	3533	1902
130	3559	1874
131	3586	1847
132	3612	1819
133	3638	1792
134	3665	1765
135	3691	1737
136	3718	1709
137	3744	1682
138	3770	1654
139	3796	1626
140	3822	1599
141	3848	1572
142	3876	1545
143	3902	1517
144	3931	1491
145	3957	1463
146	3982	1435
147	4008	1408
148	4034	1381
149	4060	1353
150	4087	1326
151	4112	1298
152	4138	1271
153	4164	1244
154	4190	1216
155	4216	1189
156	4248	1163
157	4274	1136
158	4301	1109
159	4331	1082
160	4358	1055
161	4386	1028
162	4413	1001
163	4440	974
164	4471	948
165	4497	921
166	4523	893
167	4550	866
168	4578	839
169	4608	813
170	4635	786
171	4663	759
172	4689	731
173	4718	705
174	4743	677
175	4769	650
176	4795	623
177	4823	596
178	4849	568
179	4876	541
180	4903	514
181	4929	487
182	4955	460
183	4987	433
184	5015	406
185	5043	379
186	5071	352
187	5100	325
188	5127	298
189	5153	271
190	5180	244
191	5207	216
192	5233	189
193	5260	162
194	5297	135
195	5328	108
196	5364	81
197	5389	54
198	5415	27
199	5446	0
