iter	Passed	Remaining
0	291	57957
1	320	31707
2	352	23127
3	383	18781
4	412	16070
5	443	14342
6	473	13043
7	502	12050
8	533	11317
9	562	10685
10	593	10189
11	623	9770
12	652	9379
13	680	9044
14	710	8760
15	739	8499
16	774	8335
17	804	8131
18	832	7930
19	861	7750
20	888	7577
21	917	7422
22	946	7282
23	977	7170
24	1006	7047
25	1034	6922
26	1064	6819
27	1092	6713
28	1128	6655
29	1156	6555
30	1186	6469
31	1216	6386
32	1245	6301
33	1272	6214
34	1304	6149
35	1334	6077
36	1363	6008
37	1394	5944
38	1423	5875
39	1454	5819
40	1485	5762
41	1518	5711
42	1550	5659
43	1578	5596
44	1608	5540
45	1636	5478
46	1666	5424
47	1695	5370
48	1723	5310
49	1751	5255
50	1784	5213
51	1816	5168
52	1845	5117
53	1875	5070
54	1902	5015
55	1930	4964
56	1956	4909
57	1986	4864
58	2017	4821
59	2049	4782
60	2076	4732
61	2104	4684
62	2133	4639
63	2164	4598
64	2193	4556
65	2227	4522
66	2259	4485
67	2291	4449
68	2324	4412
69	2351	4366
70	2381	4326
71	2412	4288
72	2440	4246
73	2466	4199
74	2496	4160
75	2527	4123
76	2556	4083
77	2586	4046
78	2614	4004
79	2643	3965
80	2673	3928
81	2703	3890
82	2736	3857
83	2766	3820
84	2796	3783
85	2824	3744
86	2853	3706
87	2883	3669
88	2909	3629
89	2936	3588
90	2963	3549
91	2991	3512
92	3020	3475
93	3049	3438
94	3079	3403
95	3108	3367
96	3139	3333
97	3168	3297
98	3193	3258
99	3224	3224
100	3256	3192
101	3286	3157
102	3312	3119
103	3339	3082
104	3365	3045
105	3394	3010
106	3424	2976
107	3452	2941
108	3480	2905
109	3510	2871
110	3538	2837
111	3568	2803
112	3598	2770
113	3626	2736
114	3655	2702
115	3686	2669
116	3717	2637
117	3746	2603
118	3778	2572
119	3809	2539
120	3838	2506
121	3866	2471
122	3894	2438
123	3924	2405
124	3954	2372
125	3982	2339
126	4011	2305
127	4040	2272
128	4068	2239
129	4097	2206
130	4125	2173
131	4153	2139
132	4185	2108
133	4215	2076
134	4245	2043
135	4277	2013
136	4309	1981
137	4342	1951
138	4376	1920
139	4409	1889
140	4444	1859
141	4488	1833
142	4519	1801
143	4551	1769
144	4583	1738
145	4614	1706
146	4645	1674
147	4675	1642
148	4706	1610
149	4737	1579
150	4774	1549
151	4805	1517
152	4835	1485
153	4865	1453
154	4898	1422
155	4930	1390
156	4962	1359
157	4991	1326
158	5019	1294
159	5049	1262
160	5078	1230
161	5114	1199
162	5143	1167
163	5169	1134
164	5197	1102
165	5226	1070
166	5254	1038
167	5281	1005
168	5307	973
169	5328	940
170	5354	908
171	5382	876
172	5408	844
173	5434	812
174	5460	780
175	5486	748
176	5512	716
177	5538	684
178	5565	652
179	5592	621
180	5618	589
181	5644	558
182	5670	526
183	5697	495
184	5728	464
185	5756	433
186	5784	402
187	5811	370
188	5840	339
189	5866	308
190	5893	277
191	5919	246
192	5946	215
193	5973	184
194	5999	153
195	6026	122
196	6067	92
197	6094	61
198	6120	30
199	6145	0
