iter	CrossEntropy
0	0.6832542765
1	0.674409294
2	0.6679987245
3	0.6610954842
4	0.6558226382
5	0.6499850682
6	0.6448485731
7	0.6387023242
8	0.6338307294
9	0.6292151326
10	0.6251380748
11	0.6206027954
12	0.6165833816
13	0.6129380409
14	0.6090938706
15	0.6048633897
16	0.6019550454
17	0.5987011141
18	0.5959136856
19	0.5931223019
20	0.5908074696
21	0.5879662428
22	0.5843266636
23	0.5808278568
24	0.578121364
25	0.5755740607
26	0.572485413
27	0.5702760074
28	0.5682300485
29	0.5654589461
30	0.563653685
31	0.5615231609
32	0.559320971
33	0.5574148777
34	0.5548780811
35	0.5538352877
36	0.5516832005
37	0.5503682629
38	0.5481136094
39	0.5461804143
40	0.5433580861
41	0.5411220703
42	0.5394049303
43	0.5375379375
44	0.5359295626
45	0.5342332387
46	0.5330085875
47	0.531665367
48	0.5296521504
49	0.5280145573
50	0.5262123984
51	0.5240602395
52	0.5224307736
53	0.5212728145
54	0.5194426825
55	0.5176701313
56	0.5163507131
57	0.5157344179
58	0.5132873976
59	0.5116628908
60	0.5105101994
61	0.5084520166
62	0.5075034454
63	0.5064740126
64	0.5051009932
65	0.503423305
66	0.5027795624
67	0.5010859045
68	0.5000668212
69	0.4986812138
70	0.4968605624
71	0.4955198404
72	0.49316664
73	0.4918311713
74	0.4908015001
75	0.4896588607
76	0.4881714388
77	0.4855907132
78	0.4844245271
79	0.4831908547
80	0.4815206545
81	0.4805372688
82	0.4793739031
83	0.4784060397
84	0.4768905131
85	0.4755009177
86	0.4747014018
87	0.4733336399
88	0.4724634434
89	0.4718497479
90	0.4708013868
91	0.4697439223
92	0.4686337551
93	0.4677934437
94	0.4654918236
95	0.4645989819
96	0.464268673
97	0.4632405858
98	0.4619531712
99	0.4611408793
100	0.46038838
101	0.4599485756
102	0.4585851131
103	0.4570106833
104	0.4549699114
105	0.4536263445
106	0.4519868932
107	0.4506091604
108	0.4494135525
109	0.448658994
110	0.4471527098
111	0.445554804
112	0.4451604763
113	0.4433655082
114	0.4421596711
115	0.4401496352
116	0.4390958993
117	0.4380457744
118	0.436403135
119	0.4348955743
120	0.4337373161
121	0.4320602992
122	0.431125298
123	0.429673669
124	0.428690552
125	0.4277177293
126	0.4267910728
127	0.4249605669
128	0.4244942136
129	0.4225218419
130	0.4214329114
131	0.4207875084
132	0.4196818222
133	0.418120066
134	0.4176670112
135	0.4163470993
136	0.4155833106
137	0.4144024224
138	0.4132417304
139	0.4130089832
140	0.4121830999
141	0.4107901687
142	0.4101797549
143	0.4089798661
144	0.4082423354
145	0.4068894446
146	0.4056625427
147	0.4047577121
148	0.4035114118
149	0.4007370893
150	0.3993982665
151	0.3981968157
152	0.39741403
153	0.395653913
154	0.3945252227
155	0.3936181847
156	0.3925752746
157	0.3913079373
158	0.389383694
159	0.3888327301
160	0.3877044995
161	0.3867080419
162	0.3853803639
163	0.3843762097
164	0.3836689417
165	0.3821781863
166	0.3806579908
167	0.3800151704
168	0.3795367557
169	0.3793678672
170	0.3778539003
171	0.3767465467
172	0.3761423385
173	0.3743148344
174	0.3730234507
175	0.3715040794
176	0.3711782949
177	0.3699120435
178	0.3688652092
179	0.3680965551
180	0.3674509969
181	0.3660495091
182	0.3653577012
183	0.3641839504
184	0.363738368
185	0.3616795834
186	0.3603409392
187	0.3585005003
188	0.3568137433
189	0.3552246538
190	0.3544453719
191	0.3529844279
192	0.3525145357
193	0.3507105202
194	0.3494829959
195	0.3487981738
196	0.3483035259
197	0.347804855
198	0.3465109493
199	0.3452095665
